"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 28 14:45:16 GMT 2021","Wed Jul 28 14:45:19 GMT 2021","2723","chromium","tests/github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"passed","Wed Jul 28 14:45:12 GMT 2021","Wed Jul 28 14:45:16 GMT 2021","3839","chromium","tests/github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
