"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 04 18:28:01 GMT 2022","Mon Jul 04 18:28:04 GMT 2022","3093","","tests/github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"passed","Mon Jul 04 18:27:58 GMT 2022","Mon Jul 04 18:28:01 GMT 2022","3060","","tests/github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
