"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 18:22:43 GMT 2022","Mon Jul 04 18:22:46 GMT 2022","2755","","tests/github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"failed","Mon Jul 04 18:22:46 GMT 2022","Mon Jul 04 18:22:48 GMT 2022","2307","","tests/github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
